source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
decoded,0.01,0.005,mass_10000,100,99,97,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_20000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_30000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_40000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_5000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_50000,100,99,98,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_10000,100,15,20,8,3,0.05000000000000002,0.2265625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_20000,100,15,21,8,2,0.06,0.109375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_30000,100,15,22,8,1,0.07,0.0390625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_40000,100,15,16,5,4,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_5000,100,15,15,7,7,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_50000,100,15,17,2,0,0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_10000,100,41,44,7,4,0.030000000000000027,0.548828125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_20000,100,41,39,3,5,-0.019999999999999962,0.7265625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_30000,100,41,41,6,6,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_40000,100,41,38,1,4,-0.02999999999999997,0.375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_5000,100,41,38,4,7,-0.02999999999999997,0.548828125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_50000,100,41,43,3,1,0.020000000000000018,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_10000,100,60,66,8,2,0.06000000000000005,0.109375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_20000,100,60,66,7,1,0.06000000000000005,0.0703125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_30000,100,60,69,9,0,0.08999999999999997,0.00390625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_40000,100,60,63,4,1,0.030000000000000027,0.375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_5000,100,60,57,3,6,-0.030000000000000027,0.5078125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_50000,100,60,61,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_10000,100,79,85,8,2,0.05999999999999994,0.109375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_20000,100,79,83,5,1,0.039999999999999925,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_30000,100,79,86,7,0,0.06999999999999995,0.015625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_40000,100,79,80,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_5000,100,79,72,2,9,-0.07000000000000006,0.0654296875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_50000,100,79,80,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_10000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_20000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_30000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_40000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_5000,100,99,97,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_50000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_10000,100,93,95,2,0,0.019999999999999907,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_20000,100,93,95,2,0,0.019999999999999907,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_30000,100,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_40000,100,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_5000,100,93,91,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_50000,100,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_10000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_20000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_30000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_40000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_5000,100,98,97,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_50000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_10000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_20000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_30000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_40000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_5000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_50000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_10000,100,43,51,11,3,0.08000000000000002,0.057373046875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_20000,100,43,54,12,1,0.11000000000000004,0.00341796875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_30000,100,43,48,5,0,0.04999999999999999,0.0625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_40000,100,43,47,5,1,0.03999999999999998,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_5000,100,43,42,6,7,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_50000,100,43,47,5,1,0.03999999999999998,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_10000,100,70,67,3,6,-0.029999999999999916,0.5078125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_20000,100,70,73,4,1,0.030000000000000027,0.375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_30000,100,70,71,2,1,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_40000,100,70,69,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_5000,100,70,58,1,13,-0.12,0.0018310546875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_50000,100,70,70,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_10000,100,79,82,5,2,0.029999999999999916,0.453125,exploratory; unadjusted across time cutoffs and selection arms
